owner,name,full_name,description,language,stars,days_since_last_commit,pushed_at,html_url
"simonw","datasette-plugin-template-repository","simonw/datasette-plugin-template-repository","GitHub template repository for creating new Datasette plugins, using the simonw/datasette-plugin cookiecutter template","",24,"123 days","2025-02-18T20:42:25+00:00","https://github.com/simonw/datasette-plugin-template-repository"
"guilatrova","tryceratops","guilatrova/tryceratops","A linter to prevent exception handling antipatterns in Python (limited only for those who like dinosaurs).","Python",444,"235 days","2024-10-30T16:42:33+00:00","https://github.com/guilatrova/tryceratops"
"simonw","markdown-to-sqlite","simonw/markdown-to-sqlite","CLI tool for loading markdown files into a SQLite database","Python",84,"1136 days","2022-05-13T18:09:22+00:00","https://github.com/simonw/markdown-to-sqlite"
"simonw","django-sql-dashboard","simonw/django-sql-dashboard","Django app for building dashboards using raw SQL queries","Python",454,"473 days","2024-03-06T14:15:45+00:00","https://github.com/simonw/django-sql-dashboard"
"jstrieb","github-stats","jstrieb/github-stats","Better GitHub statistics images for your profile, with stats from private repos too","Python",3195,"Today","2025-06-22T02:31:01+00:00","https://github.com/jstrieb/github-stats"
"adbar","trafilatura","adbar/trafilatura","Python & Command-line tool to gather text and metadata on the Web: Crawling, scraping, extraction, output as CSV, JSON, HTML, MD, TXT, XML","Python",4403,"23 days","2025-05-30T14:21:49+00:00","https://github.com/adbar/trafilatura"
"matplotlib","cheatsheets","matplotlib/cheatsheets","Official Matplotlib cheat sheets","Python",7477,"12 days","2025-06-10T08:41:49+00:00","https://github.com/matplotlib/cheatsheets"
"kettanaito","naming-cheatsheet","kettanaito/naming-cheatsheet","Comprehensive language-agnostic guidelines on variables naming. Home of the A/HC/LC pattern.","",14110,"465 days","2024-03-13T22:39:17+00:00","https://github.com/kettanaito/naming-cheatsheet"
"arrobalytics","django-ledger","arrobalytics/django-ledger","Django Ledger is a double entry accounting system and financial analysis engine built on the Django Web Framework.","Python",1186,"29 days","2025-05-23T19:40:32+00:00","https://github.com/arrobalytics/django-ledger"
"AllThingsSmitty","css-protips","AllThingsSmitty/css-protips","⚡️ A collection of tips to help take your CSS skills pro 🦾","",29173,"94 days","2025-03-20T14:10:02+00:00","https://github.com/AllThingsSmitty/css-protips"
"wsvincent","awesome-django","wsvincent/awesome-django","A curated list of awesome things related to Django","Python",10375,"31 days","2025-05-22T15:07:09+00:00","https://github.com/wsvincent/awesome-django"
"bradtraversy","design-resources-for-developers","bradtraversy/design-resources-for-developers","Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more","",61826,"Today","2025-06-22T16:28:34+00:00","https://github.com/bradtraversy/design-resources-for-developers"
"s0md3v","Corsy","s0md3v/Corsy","CORS Misconfiguration Scanner","Python",1440,"1009 days","2022-09-17T10:11:37+00:00","https://github.com/s0md3v/Corsy"
"explosion","spacy-course","explosion/spacy-course","👩‍🏫 Advanced NLP with spaCy: A free online course","Python",2375,"135 days","2025-02-07T07:51:14+00:00","https://github.com/explosion/spacy-course"
"talkpython","100daysofweb-with-python-course","talkpython/100daysofweb-with-python-course","Demo code and resources for our 100 Days of Web in Python Course","JavaScript",637,"16 days","2025-06-06T15:37:31+00:00","https://github.com/talkpython/100daysofweb-with-python-course"
"talkpython","mastering-pycharm-course","talkpython/mastering-pycharm-course","Course demos and handouts for Talk Python's Effective PyCharm course","Python",1179,"39 days","2025-05-13T20:39:20+00:00","https://github.com/talkpython/mastering-pycharm-course"
"mikeckennedy","mastering-pycharm-course","mikeckennedy/mastering-pycharm-course","Course demos and handouts for Talk Python's Mastering PyCharm course","",24,"2722 days","2018-01-08T04:28:57+00:00","https://github.com/mikeckennedy/mastering-pycharm-course"
"jc-healy","Presentations","jc-healy/Presentations","","CSS",1,"3174 days","2016-10-13T14:57:23+00:00","https://github.com/jc-healy/Presentations"
