owner,name,full_name,description,language,stars,days_since_last_commit,pushed_at,html_url
"boxed","django-fastdev","boxed/django-fastdev","An app to make it safer, faster and more fun to develop in Django","Python",191,"38 days","2025-05-15T07:35:39+00:00","https://github.com/boxed/django-fastdev"
"bashu","django-maintenancemode","bashu/django-maintenancemode","🛠 django-maintenancemode allows you to temporary shutdown your site for maintenance work","Python",178,"937 days","2022-11-28T16:23:32+00:00","https://github.com/bashu/django-maintenancemode"
"jeremiak","motley-fool-earning-transcripts","jeremiak/motley-fool-earning-transcripts","Datasette of earning call transcripts from the Motley Fool","JavaScript",15,"811 days","2023-04-02T23:40:11+00:00","https://github.com/jeremiak/motley-fool-earning-transcripts"
"dvarrazzo","py-setproctitle","dvarrazzo/py-setproctitle","A Python module to customize the process title","C",512,"54 days","2025-04-29T13:23:48+00:00","https://github.com/dvarrazzo/py-setproctitle"
"dbcli","pgcli","dbcli/pgcli","Postgres CLI with autocompletion and syntax highlighting","Python",12507,"49 days","2025-05-04T17:38:19+00:00","https://github.com/dbcli/pgcli"
"halcy","Mastodon.py","halcy/Mastodon.py","Python wrapper for the Mastodon ( https://github.com/mastodon/mastodon/ ) API.","Python",929,"Today","2025-06-21T22:34:42+00:00","https://github.com/halcy/Mastodon.py"
"selimrbd","py-obsidianmd","selimrbd/py-obsidianmd","Python interface to your Obsidian notes","Python",293,"668 days","2023-08-24T17:39:13+00:00","https://github.com/selimrbd/py-obsidianmd"
"willmcgugan","faqtory","willmcgugan/faqtory","A tool to generate FAQ.md documents and automatically suggest answers to issues","Python",223,"508 days","2024-01-31T12:29:57+00:00","https://github.com/willmcgugan/faqtory"
"wagoodman","dive","wagoodman/dive","A tool for exploring each layer in a docker image","Go",51158,"13 days","2025-06-09T18:05:33+00:00","https://github.com/wagoodman/dive"
"Tobi-De","fuzzy-couscous","Tobi-De/fuzzy-couscous","A cli tool to bootstrap your django projects and enhance your development experience. ","Python",63,"543 days","2023-12-27T16:06:57+00:00","https://github.com/Tobi-De/fuzzy-couscous"
"timhutton","twitter-archive-parser","timhutton/twitter-archive-parser","Python code to parse a Twitter archive and output in various ways","Python",2429,"936 days","2022-11-29T00:41:20+00:00","https://github.com/timhutton/twitter-archive-parser"
"tataraba","django-slideshow","tataraba/django-slideshow","","JavaScript",11,"968 days","2022-10-28T07:34:24+00:00","https://github.com/tataraba/django-slideshow"
"unfoldadmin","django-unfold","unfoldadmin/django-unfold","Elevate your Django admin with a stunning modern interface, powerful features, and seamless user experience - without compromising functionality.","Python",2665,"Today","2025-06-22T16:28:55+00:00","https://github.com/unfoldadmin/django-unfold"
"mixxorz","DSLR","mixxorz/DSLR","Take lightning fast snapshots of your local Postgres databases.","Python",142,"4 days","2025-06-18T08:57:10+00:00","https://github.com/mixxorz/DSLR"
"demestav","django-messages-display","demestav/django-messages-display","","CSS",7,"292 days","2024-09-02T21:07:13+00:00","https://github.com/demestav/django-messages-display"
"treyhunner","pseudorandom.name","treyhunner/pseudorandom.name","Random name generator website","Python",23,"567 days","2023-12-03T18:42:06+00:00","https://github.com/treyhunner/pseudorandom.name"
"simonw","sqlite-diffable","simonw/sqlite-diffable","Tools for dumping/loading a SQLite database to diffable directory structure","Python",121,"48 days","2025-05-05T05:44:56+00:00","https://github.com/simonw/sqlite-diffable"
"joyeusenoelle","GuideToMastodon","joyeusenoelle/GuideToMastodon","An increasingly less-brief guide to Mastodon","HTML",926,"628 days","2023-10-02T21:34:45+00:00","https://github.com/joyeusenoelle/GuideToMastodon"
"nvie","gitflow","nvie/gitflow","Git extensions to provide high-level repository operations for Vincent Driessen's branching model.","Shell",26811,"475 days","2024-03-03T22:28:12+00:00","https://github.com/nvie/gitflow"
"simonw","playing-with-github-pages","simonw/playing-with-github-pages","Trying things out with GitHub Pages","HTML",15,"964 days","2022-11-01T02:59:50+00:00","https://github.com/simonw/playing-with-github-pages"
"simonw","simonwillisonblog","simonw/simonwillisonblog","The source code behind my blog","Python",294,"1 day","2025-06-21T15:09:26+00:00","https://github.com/simonw/simonwillisonblog"
"slashsbin","styleguide-git-commit-message","slashsbin/styleguide-git-commit-message","/sBin/StyleGuide/Git/CommitMessage","HTML",1013,"430 days","2024-04-18T06:23:59+00:00","https://github.com/slashsbin/styleguide-git-commit-message"
"nedbat","coveragepy","nedbat/coveragepy","The code coverage tool for Python","Python",3178,"Today","2025-06-22T13:37:11+00:00","https://github.com/nedbat/coveragepy"
"djangocon","djangocon-archive-project","djangocon/djangocon-archive-project",":back: An archive of DjangoCon websites through the years","Makefile",5,"547 days","2023-12-23T02:20:12+00:00","https://github.com/djangocon/djangocon-archive-project"
"django-commons","django-tailwind-cli","django-commons/django-tailwind-cli","Django and Tailwind integration based on the prebuilt Tailwind CSS CLI.","Python",146,"14 days","2025-06-08T09:20:36+00:00","https://github.com/django-commons/django-tailwind-cli"
"Python-Community-News","GH-Issues","Python-Community-News/GH-Issues","Turns GitHub Issues created with Form Templates into python objects.","Python",4,"261 days","2024-10-04T01:14:31+00:00","https://github.com/Python-Community-News/GH-Issues"
"nyph-infosec","daggerboard","nyph-infosec/daggerboard","","JavaScript",100,"268 days","2024-09-27T17:09:15+00:00","https://github.com/nyph-infosec/daggerboard"
"gaqzi","django-emoji","gaqzi/django-emoji","A simple django app to use emojis on your website ⛺","Python",110,"429 days","2024-04-19T08:15:53+00:00","https://github.com/gaqzi/django-emoji"
"django","django-docker-box","django/django-docker-box","Run the Django test suite across all supported databases and python versions","Dockerfile",126,"12 days","2025-06-10T18:40:11+00:00","https://github.com/django/django-docker-box"
"jacklinke","home-on-the-range-with-django","jacklinke/home-on-the-range-with-django","","HTML",5,"976 days","2022-10-19T23:49:29+00:00","https://github.com/jacklinke/home-on-the-range-with-django"
"beeware","toga","beeware/toga","A Python native, OS native GUI toolkit.","Python",5015,"2 days","2025-06-20T04:04:57+00:00","https://github.com/beeware/toga"
"vintasoftware","django-virtual-models","vintasoftware/django-virtual-models","Improve performance and maintainability with a prefetching layer in your Django project","Python",153,"16 days","2025-06-06T14:24:35+00:00","https://github.com/vintasoftware/django-virtual-models"
"gretelai","fun-with-synthetic-data","gretelai/fun-with-synthetic-data","A collection of notebooks full of whimsy and fun to show all of the cool things you can do with Gretel Synthetics","Jupyter Notebook",7,"1070 days","2022-07-18T15:49:58+00:00","https://github.com/gretelai/fun-with-synthetic-data"
"jazzband","django-silk","jazzband/django-silk","Silky smooth profiling for Django","Python",4714,"20 days","2025-06-01T20:50:27+00:00","https://github.com/jazzband/django-silk"
"occipital","django-consistency-model","occipital/django-consistency-model","DCM is a set of tools that helps you to keep your data in your Django Models consistent.","Python",64,"483 days","2024-02-25T08:57:19+00:00","https://github.com/occipital/django-consistency-model"
"leachim6","hello-world","leachim6/hello-world","Hello world in every computer language.  Thanks to everyone who contributes to this, make sure to see contributing.md for contribution instructions!","Assembly",11379,"175 days","2024-12-29T15:55:43+00:00","https://github.com/leachim6/hello-world"
"mrswats","django-interactive-models","mrswats/django-interactive-models","Create Django Models interactively ","Python",13,"27 days","2025-05-26T19:34:49+00:00","https://github.com/mrswats/django-interactive-models"
"simonw","public-notes","simonw/public-notes","Public notes as issue threads","",25,"993 days","2022-10-03T00:18:05+00:00","https://github.com/simonw/public-notes"
"adamghill","minestrone","adamghill/minestrone","Search, modify, and parse messy HTML with ease.","HTML",40,"245 days","2024-10-20T19:13:29+00:00","https://github.com/adamghill/minestrone"
"google","latexify_py","google/latexify_py","A library to generate LaTeX expression from Python code.","Python",7502,"129 days","2025-02-13T01:27:01+00:00","https://github.com/google/latexify_py"
"bigskysoftware","htmx","bigskysoftware/htmx","</> htmx - high power tools for HTML","JavaScript",45074,"1 day","2025-06-20T21:46:46+00:00","https://github.com/bigskysoftware/htmx"
"glasnt","emojificate","glasnt/emojificate","🙃 Turn text with emoji into text with accessible emoji","Python",65,"20 days","2025-06-02T00:13:00+00:00","https://github.com/glasnt/emojificate"
"jefftriplett","django-startproject","jefftriplett/django-startproject",":checkered_flag: Django Start Project template with batteries","Just",254,"16 days","2025-06-06T16:01:47+00:00","https://github.com/jefftriplett/django-startproject"
"alexeygrigorev","data-science-interviews","alexeygrigorev/data-science-interviews","Data science interview questions and answers","HTML",9357,"61 days","2025-04-22T00:35:23+00:00","https://github.com/alexeygrigorev/data-science-interviews"
"clokep","django-render-block","clokep/django-render-block","Render the content of a specific block tag from a Django template.","Python",254,"12 days","2025-06-10T18:23:18+00:00","https://github.com/clokep/django-render-block"
"jlevy","the-art-of-command-line","jlevy/the-art-of-command-line","Master the command line, in one page","",156515,"362 days","2024-06-25T18:13:44+00:00","https://github.com/jlevy/the-art-of-command-line"
"Abdur-rahmaanJ","download-stats","Abdur-rahmaanJ/download-stats","View your pypi download stats (7k+ downloads)","Python",10,"250 days","2024-10-14T19:57:30+00:00","https://github.com/Abdur-rahmaanJ/download-stats"
"spookylukey","django-htmx-patterns","spookylukey/django-htmx-patterns","Pattern repository for Django and htmx with full example code","JavaScript",1004,"528 days","2024-01-11T15:10:39+00:00","https://github.com/spookylukey/django-htmx-patterns"
"ptmcg","littletable","ptmcg/littletable","An in-memory database of Python objects, searchable using quasi-SQL API","Python",169,"32 days","2025-05-21T07:12:44+00:00","https://github.com/ptmcg/littletable"
"django-import-export","django-import-export","django-import-export/django-import-export","Django application and library for importing and exporting data with admin integration.","Python",3206,"12 days","2025-06-10T15:18:45+00:00","https://github.com/django-import-export/django-import-export"
"asweigart","humre","asweigart/humre","A human-readable regular expression module for Python.","Python",413,"738 days","2023-06-15T18:21:46+00:00","https://github.com/asweigart/humre"
"mrswats","django-simple-analytics","mrswats/django-simple-analytics","A very simple package for django for tracking requests to the site.","Python",11,"26 days","2025-05-26T19:41:26+00:00","https://github.com/mrswats/django-simple-analytics"
"jdbit","django-auto-deploy","jdbit/django-auto-deploy","Deploy a Django website in one click with this bash script (Nginx, Gunicorn, MySQL/MariaDB/PostgreSQL)","Shell",125,"244 days","2024-10-21T12:22:33+00:00","https://github.com/jdbit/django-auto-deploy"
"AutomationPanda","playwright-python-tutorial","AutomationPanda/playwright-python-tutorial","A tutorial for learning how to automate tests with Playwright in Python","Python",346,"732 days","2023-06-21T13:54:38+00:00","https://github.com/AutomationPanda/playwright-python-tutorial"
"learntocloud","learn-to-cloud","learntocloud/learn-to-cloud","Learn the fundamentals of cloud computing","JavaScript",4896,"1 day","2025-06-21T04:21:14+00:00","https://github.com/learntocloud/learn-to-cloud"
"Textualize","rich-cli","Textualize/rich-cli","Rich-cli is a command line toolbox for fancy output in the terminal","Python",3288,"33 days","2025-05-20T18:25:08+00:00","https://github.com/Textualize/rich-cli"
"tdpetrou","Machine-Learning-Books-With-Python","tdpetrou/Machine-Learning-Books-With-Python","Chapter by Chapter notes, exercises and code for a variety of machine learning books using Python","Jupyter Notebook",936,"942 days","2022-11-22T23:38:44+00:00","https://github.com/tdpetrou/Machine-Learning-Books-With-Python"
"saadmk11","github-action-utils","saadmk11/github-action-utils","Collection of python functions that can be used to run GitHub Action Workflow Commands ","Python",82,"630 days","2023-10-01T03:40:05+00:00","https://github.com/saadmk11/github-action-utils"
"PrefectHQ","prefect","PrefectHQ/prefect","Prefect is a workflow orchestration framework for building resilient data pipelines in Python.","Python",19595,"1 day","2025-06-21T16:17:01+00:00","https://github.com/PrefectHQ/prefect"
"refined-github","refined-github","refined-github/refined-github",":octocat: Browser extension that simplifies the GitHub interface and adds useful features","TypeScript",28544,"3 days","2025-06-19T06:34:14+00:00","https://github.com/refined-github/refined-github"
"mikebranski","the-art-of-postgresql-docker","mikebranski/the-art-of-postgresql-docker","A Docker setup for the book The Art of PostgreSQL","Shell",35,"2075 days","2019-10-17T03:28:26+00:00","https://github.com/mikebranski/the-art-of-postgresql-docker"
"mblayman","django-denied","mblayman/django-denied","An authorization system based exclusively on allow lists","Python",88,"20 days","2025-06-02T16:33:13+00:00","https://github.com/mblayman/django-denied"
"littlepea","django-docs","littlepea/django-docs","Allows to serve Sphinx generated docs from django.","JavaScript",71,"937 days","2022-11-28T08:51:50+00:00","https://github.com/littlepea/django-docs"
"PetrDlouhy","django-qsstats-magic","PetrDlouhy/django-qsstats-magic","A django microframework that eases the generation of aggregate data for querysets.","Python",100,"1627 days","2021-01-07T07:37:22+00:00","https://github.com/PetrDlouhy/django-qsstats-magic"
"aaugustin","django-sesame","aaugustin/django-sesame","""Magic Links"" - URLs with authentication tokens for one-click login","Python",1009,"45 days","2025-05-08T13:32:53+00:00","https://github.com/aaugustin/django-sesame"
"dabapps","django-readers","dabapps/django-readers","A lightweight function-oriented toolkit for better organisation of business logic and efficient selection and projection of data in Django projects.","Python",189,"30 days","2025-05-23T13:45:34+00:00","https://github.com/dabapps/django-readers"
"kraanzu","smassh","kraanzu/smassh","Smassh your Keyboard, TUI Edition","Python",1582,"5 days","2025-06-17T14:30:39+00:00","https://github.com/kraanzu/smassh"
"datafold","data-diff","datafold/data-diff","Compare tables within or across databases","Python",2973,"401 days","2024-05-17T13:45:03+00:00","https://github.com/datafold/data-diff"
"ewels","rich-codex","ewels/rich-codex","Create rich code images for your docs.","Python",119,"61 days","2025-04-22T16:17:27+00:00","https://github.com/ewels/rich-codex"
"theengs","explorer","theengs/explorer","Text user interface to discover BLE devices and show their raw advertisement data and decoded data.","Python",27,"889 days","2023-01-15T19:10:56+00:00","https://github.com/theengs/explorer"
"requests-cache","requests-cache","requests-cache/requests-cache","Persistent HTTP cache for python requests","Python",1429,"5 days","2025-06-17T17:44:16+00:00","https://github.com/requests-cache/requests-cache"
"simonw","datasette","simonw/datasette","An open source multi-tool for exploring and publishing data","Python",10137,"24 days","2025-05-29T02:17:25+00:00","https://github.com/simonw/datasette"
"adamchainz","patchy","adamchainz/patchy",":anchor: Patch the inner source of python functions at runtime.","Python",190,"17 days","2025-06-05T09:23:36+00:00","https://github.com/adamchainz/patchy"
"cadojo","rich-admonitions","cadojo/rich-admonitions","Markdown-like admonitions from the comfort of your terminal!","Python",2,"1040 days","2022-08-17T00:25:27+00:00","https://github.com/cadojo/rich-admonitions"
"jefftriplett","scripts-to-rule-them-all","jefftriplett/scripts-to-rule-them-all","⚙ Scripts To Rule Them All","Just",53,"207 days","2024-11-27T16:04:45+00:00","https://github.com/jefftriplett/scripts-to-rule-them-all"
"tomerfiliba","plumbum","tomerfiliba/plumbum","Plumbum: Shell Combinators","Python",2906,"30 days","2025-05-23T19:31:06+00:00","https://github.com/tomerfiliba/plumbum"
"jablonskidev","how-to-make-a-docs-site","jablonskidev/how-to-make-a-docs-site","How to Make a Docs Site: Shortcuts for Busy Devs","",53,"581 days","2023-11-19T18:13:25+00:00","https://github.com/jablonskidev/how-to-make-a-docs-site"
"mkdocstrings","mkdocstrings","mkdocstrings/mkdocstrings",":blue_book: Automatic documentation from sources, for MkDocs.","Python",1915,"82 days","2025-04-01T12:05:34+00:00","https://github.com/mkdocstrings/mkdocstrings"
"jazzband","django-model-utils","jazzband/django-model-utils","Django model mixins and utilities.","Python",2729,"27 days","2025-05-26T17:17:51+00:00","https://github.com/jazzband/django-model-utils"
"jefftriplett","dotfiles","jefftriplett/dotfiles",":hammer: My dotfiles for setting up my Macs","Lua",59,"5 days","2025-06-17T17:08:38+00:00","https://github.com/jefftriplett/dotfiles"
"django","django","django/django","The Web framework for perfectionists with deadlines.","Python",83969,"1 day","2025-06-21T12:51:34+00:00","https://github.com/django/django"
"arvkevi","img2cmap","arvkevi/img2cmap","Create colormaps from images","Python",93,"541 days","2023-12-28T22:44:07+00:00","https://github.com/arvkevi/img2cmap"
"dotja","django-docker-compose","dotja/django-docker-compose","Deploying a Django project in production with Docker Compose, Gunicorn and Nginx.","Python",185,"1038 days","2022-08-18T21:06:00+00:00","https://github.com/dotja/django-docker-compose"
"OmenApps","django-generate-series","OmenApps/django-generate-series","Use Postgres' generate_series to create sequences with Django's ORM","Python",29,"89 days","2025-03-25T13:50:26+00:00","https://github.com/OmenApps/django-generate-series"
"revsys","django-health-check","revsys/django-health-check","a pluggable app that runs a full check on the deployment, using a number of plugins to check e.g. database, queue server, celery processes, etc.","Python",1300,"4 days","2025-06-18T12:19:25+00:00","https://github.com/revsys/django-health-check"
"carltongibson","django-sphinx-view","carltongibson/django-sphinx-view","Django Powered Dynamic Sphinx Docs.","Python",53,"484 days","2024-02-24T12:56:35+00:00","https://github.com/carltongibson/django-sphinx-view"
"jefftriplett","yes-no-words","jefftriplett/yes-no-words","Get yes/no-like words.","Python",12,"838 days","2023-03-07T05:20:25+00:00","https://github.com/jefftriplett/yes-no-words"
"Sanster","IOPaint","Sanster/IOPaint","Image inpainting tool powered by SOTA AI Model. Remove any unwanted object, defect, people from your pictures or erase and replace(powered by stable diffusion) any thing on your pictures.","Python",21619,"54 days","2025-04-29T02:13:17+00:00","https://github.com/Sanster/IOPaint"
"orchest","orchest","orchest/orchest","Build data pipelines, the easy way 🛠️","TypeScript",4125,"747 days","2023-06-06T09:48:26+00:00","https://github.com/orchest/orchest"
"chelnak","gh-changelog","chelnak/gh-changelog","A gh cli extension that will make your changelogs ✨","Go",117,"206 days","2024-11-27T21:44:20+00:00","https://github.com/chelnak/gh-changelog"
"httpie","cli","httpie/cli","🥧 HTTPie CLI  — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.","Python",35924,"187 days","2024-12-17T17:30:35+00:00","https://github.com/httpie/cli"
"nedbat","dinghy","nedbat/dinghy","A GitHub activity digest tool","Python",192,"80 days","2025-04-03T12:15:32+00:00","https://github.com/nedbat/dinghy"
"wasi-master","fastero","wasi-master/fastero","Python timeit CLI for the 21st century! colored output, multi-line input with syntax highlighting and autocompletion and much more!","Python",236,"310 days","2024-08-16T18:40:54+00:00","https://github.com/wasi-master/fastero"
"hugovk","pepotron","hugovk/pepotron","CLI to open PEPs in your browser","Python",37,"9 days","2025-06-13T14:53:23+00:00","https://github.com/hugovk/pepotron"
"mintapi","mintapi","mintapi/mintapi","an unofficial screen-scraping ""API"" for Mint.com","Python",1212,"565 days","2023-12-05T18:22:59+00:00","https://github.com/mintapi/mintapi"
"nedbat","scriv","nedbat/scriv","Changelog management tool","Python",281,"3 days","2025-06-19T04:58:38+00:00","https://github.com/nedbat/scriv"
"etianen","django-watson","etianen/django-watson","Full-text multi-table search application for Django. Easy to install and use, with good performance.","Python",1229,"312 days","2024-08-14T11:09:08+00:00","https://github.com/etianen/django-watson"
"zxibizz","django-raw-sugar","zxibizz/django-raw-sugar","Turns your raw sql into a QuerySet.","Python",52,"1184 days","2022-03-26T10:58:46+00:00","https://github.com/zxibizz/django-raw-sugar"
"adamchainz","django-auto-prefetch","adamchainz/django-auto-prefetch","Automatically prefetch foreign key values as needed","Python",384,"17 days","2025-06-05T09:15:06+00:00","https://github.com/adamchainz/django-auto-prefetch"
"simonw","shot-scraper-template","simonw/shot-scraper-template","Template repository for setting up shot-scraper","",257,"108 days","2025-03-06T13:45:36+00:00","https://github.com/simonw/shot-scraper-template"
"nicolargo","glances","nicolargo/glances","Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.","Python",28996,"Today","2025-06-22T16:31:34+00:00","https://github.com/nicolargo/glances"
"apache","airflow","apache/airflow","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","Python",40676,"Today","2025-06-22T19:01:19+00:00","https://github.com/apache/airflow"
"dimagi","django-cte","dimagi/django-cte","Common Table Expressions (CTE) for Django","Python",368,"6 days","2025-06-16T15:27:22+00:00","https://github.com/dimagi/django-cte"
"HackSoftware","Django-Styleguide","HackSoftware/Django-Styleguide","Django styleguide used in HackSoft projects","Python",5593,"74 days","2025-04-09T08:07:54+00:00","https://github.com/HackSoftware/Django-Styleguide"
"eyeseast","python-frontmatter","eyeseast/python-frontmatter","Parse and manage posts with YAML (or other) frontmatter","Python",364,"19 days","2025-06-02T21:29:58+00:00","https://github.com/eyeseast/python-frontmatter"
"CoverGenius","django-reactive","CoverGenius/django-reactive","Integrates react-jsonschema-form in your Django project as a form field","Python",49,"68 days","2025-04-15T05:06:01+00:00","https://github.com/CoverGenius/django-reactive"
"tolomea","django-data-browser","tolomea/django-data-browser","Django app for user friendly querying of Django models","Python",364,"435 days","2024-04-13T08:26:56+00:00","https://github.com/tolomea/django-data-browser"
"simonw","google-drive-to-sqlite","simonw/google-drive-to-sqlite","Create a SQLite database containing metadata from Google Drive","Python",161,"102 days","2025-03-12T02:58:46+00:00","https://github.com/simonw/google-drive-to-sqlite"
"marcua","datools","marcua/datools","","Python",116,"754 days","2023-05-30T09:59:02+00:00","https://github.com/marcua/datools"
"MasonEgger","conference-talk-proposal-template","MasonEgger/conference-talk-proposal-template","This is the template I use when writing my CFPs.","",5,"1210 days","2022-02-27T23:06:32+00:00","https://github.com/MasonEgger/conference-talk-proposal-template"
"ewels","rich-click","ewels/rich-click","Format click help output nicely with rich.","Python",688,"33 days","2025-05-19T21:32:44+00:00","https://github.com/ewels/rich-click"
"nicoddemus","pytest-rich","nicoddemus/pytest-rich","pytest + rich integration (proof of concept)","Python",243,"20 days","2025-06-02T17:43:07+00:00","https://github.com/nicoddemus/pytest-rich"
